,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
3,2022,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
6,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - FILOSOFIA - 08ABI,ATIVO,A Especificar,Não Informada,Não,JF
31,2025,2,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
48,2021,1,OUTROS,Programa de Estudante Convênio-Graduação,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
118,2022,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
133,2022,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
138,2024,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 73A,ATIVO,A Especificar,Não Informada,Não,JF
164,2024,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
167,2024,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FILOSOFIA - 08L,ATIVO,A Especificar,Não Informada,Não,JF
168,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - LIBRAS - 88A,ATIVO,A Especificar,Não Informada,Não,JF
